DAY,DATE,SHIP,LINE,ARRIVAL TIME,DEPARTURE TIME,TERMINAL,DESTINATION & NOTES
Monday,1/2/2023,Anthem of the Seas,Royal Caribbean,6:00 AM,3:00 PM,CLCP,Southern Caribbean
Monday,1/2/2023,Norwegian Gem,Norwegian Cruise Line,10:00 AM,4:00 PM,MCT,"Bermuda/Bahamas/Port Canaveral, FL"
Tuesday,1/3/2023,Queen Mary 2,Cunard,6:30 AM,5:00 PM,BCT,Transatlantic (World Cruise)
Sunday,1/8/2023,Norwegian Getaway,Norwegian Cruise Line,7:00 AM,3:00 PM,MCT,Eastern Caribbean
Wednesday,1/11/2023,Norwegian Gem,Norwegian Cruise Line,7:00 AM,4:00 PM,MCT,Bermuda
Friday,1/13/2023,Anthem of the Seas,Royal Caribbean,6:00 AM,3:00 PM,CLCP,Southern Caribbean
Monday,1/16/2023,Norwegian Gem,Norwegian Cruise Line,10:00 AM,4:00 PM,MCT,"Bermuda/Bahamas/Port Canaveral, FL"
Thursday,1/19/2023,Queen Victoria,Cunard,AM,---,MCT,In port overnight
Friday,1/20/2023,Norwegian Getaway,Norwegian Cruise Line,7:00 AM,3:00 PM,MCT,Eastern Caribbean
Friday,1/20/2023,Queen Victoria,Cunard,---,5:00 PM,MCT,San Francisco via Eastern Caribbean/Panama Canal/Mexico (World Cruise)
Tuesday,1/24/2023,Anthem of the Seas,Royal Caribbean,6:00 AM,3:00 PM,CLCP,Southern Caribbean
Wednesday,1/25/2023,Norwegian Gem,Norwegian Cruise Line,7:00 AM,4:00 PM,MCT,"Panama City, Panama via Southern Caribbean"
Wednesday,2/1/2023,Norwegian Getaway,Norwegian Cruise Line,7:00 AM,4:00 PM,MCT,Bermuda
Saturday,2/4/2023,Anthem of the Seas,Royal Caribbean,6:00 AM,3:00 PM,CLCP,"Port Canaveral, FL/Miami, FL/Bahamas"
Monday,2/6/2023,Norwegian Getaway,Norwegian Cruise Line,7:00 AM,3:00 AM,MCT,Eastern Caribbean
Sunday,2/12/2023,Anthem of the Seas,Royal Caribbean,6:00 AM,3:00 PM,CLCP,"Port Canaveral, FL/Bahamas"
Friday,2/17/2023,Norwegian Gem,Norwegian Cruise Line,10:00 AM,4:00 PM,MCT,Eastern Caribbean
Saturday,2/18/2023,Norwegian Getaway,Norwegian Cruise Line,7:00 AM,5:00 PM,MCT,"Port Canaveral, FL/Bahamas/Bermuda"
Sunday,2/19/2023,Anthem of the Seas,Royal Caribbean,6:00 AM,3:00 PM,CLCP,"Port Canaveral, FL/Bahamas"
Sunday,2/26/2023,Anthem of the Seas,Royal Caribbean,6:00 AM,3:00 PM,CLCP,"Port Canaveral, FL/Bahamas"
Sunday,2/26/2023,Norwegian Getaway,Norwegian Cruise Line,7:00 AM,5:00 PM,MCT,Eastern Caribbean
Monday,2/27/2023,Norwegian Gem,Norwegian Cruise Line,10:00 AM,4:00 PM,MCT,Eastern Caribbean
Sunday,3/5/2023,Anthem of the Seas,Royal Caribbean,6:00 AM,3:00 PM,CLCP,"Port Canaveral, FL/Bahamas"
Friday,3/10/2023,Norwegian Gem,Norwegian Cruise Line,10:00 AM,4:00 PM,MCT,Eastern Caribbean
Friday,3/10/2023,Norwegian Getaway,Norwegian Cruise Line,7:00 AM,5:00 PM,MCT,"Port Canaveral, FL/Bahamas/Bermuda"
Sunday,3/12/2023,Anthem of the Seas,Royal Caribbean,6:00 AM,3:00 PM,CLCP,"Port Canaveral, FL/Bahamas"
Saturday,3/18/2023,Norwegian Getaway,Norwegian Cruise Line,7:00 AM,5:00 PM,MCT,"Port Canaveral, FL/Bahamas"
Sunday,3/19/2023,Anthem of the Seas,Royal Caribbean,6:00 AM,3:00 PM,CLCP,"Port Canaveral, FL/Bahamas"
Tuesday,3/21/2023,Norwegian Gem,Norwegian Cruise Line,10:00 AM,4:00 PM,MCT,Eastern Caribbean
Sunday,3/26/2023,Anthem of the Seas,Royal Caribbean,6:00 AM,3:00 PM,CLCP,"Port Canaveral, FL/Bahamas"
Sunday,3/26/2023,Norwegian Getaway,Norwegian Cruise Line,7:00 AM,4:00 PM,MCT,Bermuda/Bahamas
Tuesday,3/28/2023,Norwegian Prima,Norwegian Cruise Line,11:00 AM,4:00 PM,MCT,Bermuda
Friday,3/31/2023,Norwegian Gem,Norwegian Cruise Line,10:00 AM,3:30 PM,MCT,"Bermuda (""Broadway Cruise"")"
Sunday,4/2/2023,Anthem of the Seas,Royal Caribbean,6:00 AM,3:00 PM,CLCP,"Port Canaveral, FL/Bahamas"
Sunday,4/2/2023,Norwegian Prima,Norwegian Cruise Line,7:00 AM,4:00 PM,MCT,Bermuda
Wednesday,4/5/2023,Norwegian Gem,Norwegian Cruise Line,N/A,4:00 PM,MCT,Eastern Caribbean
Wednesday,4/5/2023,Norwegian Getaway,Norwegian Cruise Line,7:00 AM,4:00 PM,MCT,Bermuda/Bahamas
Thursday,4/6/2023,MS Rotterdam,Holland America Line,7:00 AM,---,MCT,In port overnight
Friday,4/7/2023,MS Rotterdam,Holland America Line,---,4:00 PM,MCT,"Transatlantic (Plymouth, UK/Dover, UK/Rotterdam, Holland)"
Saturday,4/8/2023,Amera,Phoenix Reisen Cruises,9:00 AM,---,MCT,In port overnight
Sunday,4/9/2023,Amera,Phoenix Reisen Cruises,---,5:00 PM,MCT,"Transatlantic (Newport, RI/Boston, 
MA/Azores/Portugal/Spain/England/Bremerhaven, Ger.)"
Sunday,4/9/2023,Anthem of the Seas,Royal Caribbean,6:00 AM,3:00 PM,CLCP,"Port Canaveral, FL/Bahamas"
Sunday,4/9/2023,Norwegian Prima,Norwegian Cruise Line,7:00 AM,4:00 PM,MCT,Bermuda
Saturday,4/15/2023,Norwegian Gem,Norwegian Cruise Line,10:00 AM,4:00 PM,MCT,Transatlantic (Azores/Portugal/Spain/France/Italy)
Saturday,4/15/2023,Norwegian Getaway,Norwegian Cruise Line,7:00 AM,N/A,MCT,"Repositioning to Port Canaveral, FL"
Sunday,4/16/2023,Anthem of the Seas,Royal Caribbean,6:00 AM,3:00 PM,CLCP,"Port Canaveral, FL/Bahamas"
Sunday,4/16/2023,Norwegian Prima,Norwegian Cruise Line,7:00 AM,4:00 PM,MCT,Bermuda
Tuesday,4/18/2023,Norwegian Sun,Norwegian Cruise Line,7:00 AM,4:00 PM,MCT,"Miami, FL"
Wednesday,04/19/2023,Viking Octantis,Viking Expedition Cruises,7:00 AM,10:00 PM,MCT,Canada
Thursday,4/20/2023,Costa Deliziosa,Costa Cruises,8:00 AM,---,MCT,In port overnight
Thursday,4/20/2023,MSC Meraviglia,MSC Cruises,6:30 AM,---,BCT,In port overnight
Thursday,4/20/2023,Norwegian Breakaway,Norwegian Cruise Line,6:30 AM,5:00 PM,MCT,Transatlantic (Bermuda/Azores/Portugal/Spain/France/Italy)
Thursday,4/20/2023,Norwegian Dawn,Norwegian Cruise Line,7:00 AM,5:00 PM,MCT,"Transatlantic (Canada/Iceland/Ireland/France/Southampton, UK)"
Friday,4/21/2023,Costa Deliziosa,Costa Cruises,---,6:00 PM,MCT,Transatlantic (Azores/Portugal/Morocco/Gibraltar/France/Italy)
Friday,4/21/2023,MSC Meraviglia,MSC Cruises,---,---,BCT,In port overnight
Saturday,4/22/2023,MSC Meraviglia,MSC Cruises,---,3:00 PM,BCT,"Port Canveral, FL/Bahamas"
Saturday,4/22/2023,Norwegian Epic,Norwegian Cruise Line,8:30 AM,7:30 PM,MCT,Transatlantic (Bermuda/Azores/Madiera/Spain)
Saturday,4/22/2023,Ocean Explorer,Vantage Travel,N/A,---,MCT,In port overnight
Sunday,4/23/2023,Anthem of the Seas,Royal Caribbean,6:00 AM,3:00 PM,CLCP,"Port Canaveral, FL/Miami, FL/Bahamas"
Sunday,4/23/2023,Norwegian Prima,Norwegian Cruise Line,7:00 AM,4:00 PM,MCT,Bermuda
Sunday,4/23/2023,Ocean Explorer,Vantage Travel,---,N/A,MCT,New England
Saturday,4/29/2023,MSC Meraviglia,MSC Cruises,7:00 AM,3:00 PM,BCT,"Port Canaveral, FL/Bahamas"
Sunday,4/30/2023,Enchantment of the Seas,Royal Caribbean,N/A,5:00 PM,CLCP,Transatlantic (Madiera/Spain/France/Italy)
Sunday,4/30/2023,Norwegian Prima,Norwegian Cruise Line,7:00 AM,4:00 PM,MCT,"Norfolk, VA/Bermuda"
Sunday,4/30/2023,Queen Mary 2,Cunard,6:30 AM,5:00 PM,BCT,"Transatlantic (Southampton, UK/Hamburg, Ger.) *CANCELLED DUE TO TECHNICAL 
ISSUE*"
Monday,5/1/2023,Anthem of the Seas,Royal Caribbean,6:00 AM,4:00 PM,CLCP,"Transatlantic (Azores/France/Southampton, UK)"
Thursday,5/4/2023,Liberty of the Seas,Royal Caribbean,N/A,3:00 PM,CLCP,"Bermuda/Labadee, Haiti/Dominican Republic"
Saturday,5/6/2023,Celebrity Summit,Celebrity Cruises,8:00 AM,4:00 PM,CLCP,"Newport, RI/Oak Bluffs, MA/Charleston, SC/Bermuda"
Sunday,5/7/2023,MSC Meraviglia,MSC Cruises,7:00 AM,3:00 PM,BCT,"Port Canaveral, FL/Bahamas"
Sunday,5/7/2023,Norwegian Prima,Norwegian Cruise Line,7:00 AM,4:00 PM,MCT,"Norfolk, VA/Bermuda"
Sunday,5/7/2023,Oasis of the Seas,Royal Caribbean,N/A,4:00 PM,CLCP,"Port Canaveral, FL/Bahamas"
Saturday,5/13/2023,Liberty of the Seas,Royal Caribbean,7:00 AM,3:00 PM,CLCP,Bermuda
Sunday,5/14/2023,MSC Meraviglia,MSC Cruises,7:00 AM,3:00 PM,BCT,"Port Canaveral, FL/Bahamas"
Sunday,5/14/2023,Norwegian Joy,Norwegian Cruise Line,N/A,11:00 PM,MCT,Bermuda
Sunday,5/14/2023,Norwegian Prima,Norwegian Cruise Line,7:00 AM,5:00 PM,MCT,Nova Scotia/Iceland
Sunday,5/14/2023,Oasis of the Seas,Royal Caribbean,6:00 AM,4:00 PM,CLCP,"Port Canaveral, FL/Bahamas"
Monday,5/15/2023,Celebrity Summit,Celebrity Cruises,8:00 AM,4:00 PM,CLCP,"Oak Bluffs, MA/Bermuda/Charleston, SC"
Monday,5/15/2023,Viking Polaris,Viking Expedition Cruises,6:00 AM,5:00 PM,MCT,Canadian Maritimes/Toronto
Wednesday,5/17/2023,Marella Discovery,Marella Cruises,7:00 AM,---,MCT,In port overnight
Thursday,5/18/2023,Liberty of the Seas,Royal Caribbean,7:00 AM,3:00 PM,CLCP,Bermuda
Thursday,5/18/2023,Marella Discovery,Marella Cruises,---,6:00 PM,MCT,"Bahamas/Port Canaveral, FL"
Sunday,5/21/2023,MSC Meraviglia,MSC Cruises,7:00 AM,3:00 PM,BCT,"Port Canaveral, FL/Bahamas"
Sunday,5/21/2023,Norwegian Joy,Norwegian Cruise Line,7:00 AM,4:00 PM,MCT,Bermuda
Sunday,5/21/2023,Oasis of the Seas,Royal Caribbean,6:00 AM,4:00 PM,CLCP,"Port Canaveral, FL/Bahamas"
Tuesday,5/23/2023,Liberty of the Seas,Royal Caribbean,7:00 AM,3:00 PM,CLCP,"Halifax, NS"
Thursday,5/25/2023,Celebrity Summit,Celebrity Cruises,8:00 AM,4:00 PM,CLCP,"Bermuda/Charleston, SC/Newport, RI/Oak Bluffs, MA"
Friday,5/26/2023,Queen Mary 2,Cunard,6:30 AM,5:00 PM,BCT,"Transatlantic (Southampton, UK)"
Saturday,5/27/2023,Liberty of the Seas,Royal Caribbean,7:00 AM,3:00 PM,CLCP,Bermuda
Sunday,5/28/2023,MSC Meraviglia,MSC Cruises,7:00 AM,3:00 PM,BCT,"Port Canaveral, FL/Bahamas"
Sunday,5/28/2023,Norwegian Joy,Norwegian Cruise Line,7:00 AM,4:00 PM,MCT,Bermuda
Sunday,5/28/2023,Oasis of the Seas,Royal Caribbean,6:00 AM,4:00 PM,CLCP,"St. John, NB/Halifax, NS"
Wednesday,5/31/2023,Marella Discovery,Marella Cruises,7:00 AM,---,MCT,In port overnight
Wednesday,5/31/2023,Seven Seas Navigator,Regent Seven Seas,6:00 AM,6:00 PM,MCT,"New England/Canadian Maritimes/Quebec City, Que./Montreal, Que."
Wednesday,5/31/2023,Silver Shadow,Silversea Cruises,8:00 AM,---,MCT,In port overnight
Thursday,6/1/2023,Liberty of the Seas,Royal Caribbean,7:00 AM,3:00 PM,CLCP,"Bermuda/Labadee, Haiti/Dominican Republic"
Thursday,6/1/2023,Marella Discovery,Marella Cruises,---,6:00 PM,MCT,"Bahamas/Port Canaveral, FL"
Thursday,6/1/2023,Silver Shadow,Silversea Cruises,---,1:00 PM,MCT,"Transatlantic (New England/Canadian Maritimes/Ireland/Southampton, UK)"
Friday,6/2/2023,Oasis of the Seas,Royal Caribbean,6:00 AM,4:00 PM,CLCP,"Port Canaveral, FL/Bahamas"
Sunday,6/4/2023,Celebrity Summit,Celebrity Cruises,8:00 AM,4:00 PM,CLCP,Bermuda
Sunday,6/4/2023,MSC Meraviglia,MSC Cruises,7:00 AM,3:00 PM,BCT,"Port Canaveral, FL/Bahamas"
Sunday,6/4/2023,Norwegian Joy,Norwegian Cruise Line,7:00 AM,6:00 PM,MCT,Bermuda
Tuesday,6/6/2023,Viking Saturn,Viking Ocean Cruises,N/A,---,MCT,*****Maiden Arrival; In port overnight*
Wednesday,6/7/2023,Viking Saturn,Viking Ocean Cruises,---,N/A,MCT,"Halifax, NS/Canada/Greenland/Iceland"
Friday,6/9/2023,Oasis of the Seas,Royal Caribbean,6:00 AM,4:00 PM,CLCP,"Port Canaveral, FL/Bahamas"
Saturday,6/10/2023,Liberty of the Seas,Royal Caribbean,7:00 AM,3:00 PM,CLCP,Bermuda
Sunday,6/11/2023,Celebrity Summit,Celebrity Cruises,8:00 AM,4:00 PM,CLCP,Bermuda
Sunday,6/11/2023,MSC Meraviglia,MSC Cruises,7:00 AM,3:00 PM,BCT,"Port Canaveral, FL/Bahamas"
Sunday,6/11/2023,Norwegian Joy,Norwegian Cruise Line,7:00 AM,6:00 PM,MCT,Bermuda
Tuesday,6/13/2023,Carnival Venezia,Carnival Cruise Line,4:00 AM,---,MCT,*****Maiden Arrival (ex-Costa Venezia); In port overnight*
Wednesday,6/14/2023,Carnival Venezia,Carnival Cruise Line,---,---,MCT,*Re-christening ceremony w/Jay Leno as ship's godfather; In port overnight*
Wednesday,6/14/2023,Marella Discovery,Marella Cruises,7:00 AM,---,MCT,In port overnight
Thursday,6/15/2023,Carnival Venezia,Carnival Cruise Line,---,4:00 PM,MCT,Bermuda
Thursday,6/15/2023,Liberty of the Seas,Royal Caribbean,7:00 AM,3:00 PM,CLCP,Bermuda
Thursday,6/15/2023,Marella Discovery,Marella Cruises,---,5:30 PM,MCT,"Charleston, SC/Port Canaveral, FL"
Friday,6/16/2023,Oasis of the Seas,Royal Caribbean,6:00 AM,4:00 PM,CLCP,"Port Canaveral, FL/Bahamas"
Sunday,6/18/2023,Celebrity Summit,Celebrity Cruises,8:00 AM,4:00 PM,CLCP,Bermuda
Sunday,6/18/2023,MSC Meraviglia,MSC Cruises,7:00 AM,3:00 PM,BCT,"Port Canaveral, FL/Bahamas"
Sunday,6/18/2023,Norwegian Joy,Norwegian Cruise Line,7:00 AM,6:00 PM,MCT,Bermuda
Monday,6/19/2023,Carnival Venezia,Carnival Cruise Line,8:00 AM,4:00 PM,MCT,Dominican Republic/Turks & Caicos/Bahamas
Tuesday,6/20/2023,Liberty of the Seas,Royal Caribbean,7:00 AM,3:00 PM,CLCP,"Halifax, NS"
Tuesday,6/20/2023,Viking Neptune,Viking Ocean Cruises,7:00 AM,---,MCT,In port overnight
Wednesday,6/21/2023,Viking Neptune,Viking Ocean Cruises,---,2:00 PM,MCT,"New England/Canadian Maritimes/Montreal, Que./Quebec City, Que."
Thursday,6/22/2023,Seven Seas Navigator,Regent Seven Seas,11:00 AM,---,MCT,In port overnight
Friday,6/23/2023,Oasis of the Seas,Royal Caribbean,6:00 AM,4:00 PM,CLCP,"Port Canaveral, FL/Bahamas"
Friday,6/23/2023,Seven Seas Navigator,Regent Seven Seas,7:00 AM,6:00 PM,MCT,New England/Canadian Maritimes/Greenland/Iceland
Saturday,6/24/2023,Liberty of the Seas,Royal Caribbean,7:00 AM,3:00 PM,CLCP,Bermuda
Sunday,6/25/2023,Celebrity Summit,Celebrity Cruises,8:00 AM,4:00 PM,CLCP,Bermuda
Sunday,6/25/2023,MSC Meraviglia,MSC Cruises,7:00 AM,3:00 PM,BCT,"Port Canaveral, FL/Bahamas"
Sunday,6/25/2023,Norwegian Joy,Norwegian Cruise Line,7:00 AM,11:00 PM,MCT,Bermuda
Tuesday,6/27/2023,Carnival Venezia,Carnival Cruise Line,8:00 AM,4:00 PM,MCT,"San Juan, PR/St. Thomas, USVI/Turks & Caicos"
Wednesday,6/28/2023,Marella Discovery,Marella Cruises,7:00 AM,---,MCT,In port overnight
Thursday,6/29/2023,Liberty of the Seas,Royal Caribbean,7:00 AM,3:00 PM,CLCP,"Bermuda/Labadee, Haiti/Dominican Republic"
Thursday,6/29/2023,Marella Discovery,Marella Cruises,---,5:30 PM,MCT,"Charleston, SC/Port Canaveral, FL"
Friday,6/30/2023,Oasis of the Seas,Royal Caribbean,6:00 AM,4:00 PM,CLCP,"Port Canaveral, FL/Bahamas"
Friday,6/30/2023,Queen Mary 2,Cunard,6:30 AM,5:00 PM,BCT,"Halifax, NS/Boston, MA/Newport, RI"
Saturday,7/1/2023,Norwegian Joy,Norwegian Cruise Line,7:00 AM,3:00 PM,MCT,"Port Canaveral, FL/Bahamas/Bermuda"
Sunday,7/2/2023,Celebrity Summit,Celebrity Cruises,8:00 AM,4:00 PM,CLCP,Bermuda
Sunday,7/2/2023,MSC Meraviglia,MSC Cruises,7:00 AM,3:00 PM,BCT,"Port Canaveral, FL/Bahamas"
Wednesday,7/5/2023,Carnival Venezia,Carnival Cruise Line,8:00 AM,4:00 PM,MCT,Dominican Republic/Turks & Caicos/Bahamas
Friday,7/7/2023,Oasis of the Seas,Royal Caribbean,6:00 AM,4:00 PM,CLCP,"Port Canaveral, FL/Bahamas"
Friday,7/7/2023,Queen Mary 2,Cunard,6:30 AM,5:00 PM,BCT,"Transatlantic (Southampton, UK)"
Saturday,7/8/2023,Liberty of the Seas,Royal Caribbean,7:00 AM,3:00 PM,CLCP,Bermuda
Sunday,7/9/2023,Celebrity Summit,Celebrity Cruises,8:00 AM,4:00 PM,CLCP,Bermuda
Sunday,7/9/2023,MSC Meraviglia,MSC Cruises,7:00 AM,3:00 PM,BCT,"Port Canaveral, FL/Bahamas"
Sunday,7/9/2023,Norwegian Joy,Norwegian Cruise Line,7:00 AM,6:00 PM,MCT,Bermuda
Wednesday,7/12/2023,Marella Discovery,Marella Cruises,7:00 AM,---,MCT,In port overnight
Thursday,7/13/2023,Carnival Venezia,Carnival Cruise Line,8:00 AM,4:00 PM,MCT,Bermuda
Thursday,7/13/2023,Liberty of the Seas,Royal Caribbean,7:00 AM,3:00 PM,CLCP,Bermuda
