*Date*,*Terminal*,*Vessel*,*Cruise Line*
4/20/2023,BCT,MSC Meraviglia,MSC Cruises
4/21/2023,BCT,MSC Meraviglia,MSC Cruises
4/29/2023,BCT,MSC Meraviglia,MSC Cruises
4/30/2023,BCT,Queen Mary 2,Cunard Line
5/7/2023,BCT,MSC Meraviglia,MSC Cruises
5/14/2023,BCT,MSC Meraviglia,MSC Cruises
5/21/2023,BCT,MSC Meraviglia,MSC Cruises
5/26/2023,BCT,Queen Mary 2,Cunard Line
5/28/2023,BCT,MSC Meraviglia,MSC Cruises
6/4/2023,BCT,MSC Meraviglia,MSC Cruises
6/11/2023,BCT,MSC Meraviglia,MSC Cruises
6/18/2023,BCT,MSC Meraviglia,MSC Cruises
6/25/2023,BCT,MSC Meraviglia,MSC Cruises
6/30/2023,BCT,Queen Mary,Cunard Line
7/2/2023,BCT,MSC Meraviglia,MSC Cruises
7/7/2023,BCT,Queen Mary 2,Cunard Line
7/9/2023,BCT,MSC Meraviglia,MSC Cruises
7/16/2023,BCT,MSC Meraviglia,MSC Cruises
7/21/2023,BCT,Queen Mary 2,Cunard Line
7/23/2023,BCT,MSC Meraviglia,MSC Cruises
7/26/2023,BCT,Caribbean Princess,Princess Cruise Line
7/30/2023,BCT,MSC Meraviglia,MSC Cruises
8/6/2023,BCT,MSC Meraviglia,MSC Cruises
8/13/2023,BCT,MSC Meraviglia,MSC Cruises
8/14/2023,BCT,Caribbean Princess,Princess Cruise Line
8/18/2023,BCT,Queen Mary,Cunard Line
8/21/2023,BCT,MSC Meraviglia,MSC Cruises
8/27/2023,BCT,MSC Meraviglia,MSC Cruises
8/30/2023,BCT,Caribbean Princess,Princess Cruise Line
9/4/2023,BCT,MSC Meraviglia,MSC Cruises
9/9/2023,BCT,Emerald Princess,Princess Cruise Line
9/10/2023,BCT,MSC Meraviglia,MSC Cruises
9/11/2023,BCT,Queen Mary,Cunard Line
9/16/2023,BCT,Emerald Princess,Princess Cruise Line
9/18/2023,BCT,MSC Meraviglia,MSC Cruises
9/19/2023,BCT,Caribbean Princess,Princess Cruise Line
9/20/2023,BCT,Marella Discovery,Marella Cruises
9/21/2023,BCT,Marella Discovery,Marella Cruises
9/23/2023,BCT,Emerald Princess,Princess Cruise Line
9/24/2023,BCT,MSC Meraviglia,MSC Cruises
9/29/2023,BCT,Queen Mary,Cunard Line
9/30/2023,BCT,Emerald Princess,Princess Cruise Line
10/4/2023,BCT,MSC Meraviglia,MSC Cruises
10/7/2023,BCT,Emerald Princess,Princess Cruise Line
10/9/2023,BCT,Caribbean Princess,Princess Cruise Line
10/13/2023,BCT,Queen Mary 2,Cunard Line
10/14/2023,BCT,Emerald Princess,Princess Cruise Line
10/15/2023,BCT,MSC Meraviglia,MSC Cruises
10/21/2023,BCT,Emerald Princess,Princess Cruise Line
10/25/2023,BCT,MSC Meraviglia,MSC Cruises
10/27/2023,BCT,Caribbean Princess,Princess Cruise Line
10/28/2023,BCT,Emerald Princess,Princess Cruise Line
10/29/2023,BCT,Crystal Serenity,Crystal Cruises
10/30/2023,BCT,Crystal Serenity,Crystal Cruises
11/4/2023,BCT,Emerald Princess,Princess Cruise Line
11/5/2023,BCT,MSC Meraviglia,MSC Cruises
11/13/2023,BCT,MSC Meraviglia,MSC Cruises
11/19/2023,BCT,MSC Meraviglia,MSC Cruises
11/26/2023,BCT,Queen Mary 2,Cunard Line
11/27/2023,BCT,MSC Meraviglia,MSC Cruises
12/2/2023,BCT,MSC Meraviglia,MSC Cruises
12/8/2023,BCT,Queen Mary 2,Cunard Line
12/9/2023,BCT,MSC Meraviglia,MSC Cruises
12/16/2023,BCT,MSC Meraviglia,MSC Cruises
12/22/2023,BCT,Queen Mary 2,Cunard Line
12/23/2023,BCT,MSC Meraviglia,MSC Cruises
12/30/2023,BCT,MSC Meraviglia,MSC Cruises